Reporting Period ID,Year,Month,Full Month Name,Full Month Name Uppercase,Selector
2022-JAN,2022,JAN,January,JANUARY,2022-(01) JAN
2022-FEB,2022,FEB,February,FEBRUARY,2022-(02) FEB
2022-MAR,2022,MAR,March,MARCH,2022-(03) MAR
2022-APR,2022,APR,April,APRIL,2022-(04) APR
2022-MAY,2022,MAY,May,MAY,2022-(05) MAY
2022-JUN,2022,JUN,June,JUNE,2022-(06) JUN
2022-JUL,2022,JUL,July,JULY,2022-(07) JUL
2022-AUG,2022,AUG,August,AUGUST,2022-(08) AUG
2022-SEP,2022,SEP,September,SEPTEMBER,2022-(09) SEP
2022-OCT,2022,OCT,October,OCTOBER,2022-(10) OCT
2022-NOV,2022,NOV,November,NOVEMBER,2022-(11) NOV
2022-DEC,2022,DEC,December,DECEMBER,2022-(12) DEC
2023-JAN,2023,JAN,January,JANUARY,2023-(01) JAN
2023-FEB,2023,FEB,February,FEBRUARY,2023-(02) FEB
2023-MAR,2023,MAR,March,MARCH,2023-(03) MAR
2023-APR,2023,APR,April,APRIL,2023-(04) APR
2023-MAY,2023,MAY,May,MAY,2023-(05) MAY
2023-JUN,2023,JUN,June,JUNE,2023-(06) JUN
2023-JUL,2023,JUL,July,JULY,2023-(07) JUL
2023-AUG,2023,AUG,August,AUGUST,2023-(08) AUG
2023-SEP,2023,SEP,September,SEPTEMBER,2023-(09) SEP
2023-OCT,2023,OCT,October,OCTOBER,2023-(10) OCT
2023-NOV,2023,NOV,November,NOVEMBER,2023-(11) NOV
2023-DEC,2023,DEC,December,DECEMBER,2023-(12) DEC
